DayAheadForecast,DayAheadConfidence10,DayAheadConfidence90,WeekAheadConfidence10,WeekAheadConfidence90,MonitoredCapacity,LoadFactor,MostRecentForecast,Realtime
694.22,283.43,1108.54,39.62,1169.73,3157.18,0.23,787.72,726.82
701.83,286.17,1121.04,38.26,1167.08,3157.18,0.22,796.2,693.95
709.46,288.92,1133.55,36.9,1164.44,3157.18,0.21,804.69,666.91
717.08,291.66,1146.05,35.54,1161.79,3157.18,0.22,813.17,693.92
722.42,292.33,1155.99,34.24,1158.55,3157.18,0.26,821.29,814.05
725.47,290.92,1163.36,33.03,1154.68,3157.18,0.27,829.03,866.36
728.51,289.52,1170.74,31.82,1150.81,3157.18,0.27,836.78,866.62
731.56,288.11,1178.11,30.6,1146.94,3157.18,0.27,844.53,852.64
737.4,288.61,1188.97,29.62,1142.88,3157.18,0.28,849.8,890.04
746.02,290.97,1203.33,28.9,1138.62,3157.18,0.28,852.64,898.36
754.65,293.35,1217.69,28.17,1134.36,3157.18,0.27,855.46,864.92
763.27,295.71,1232.05,27.45,1130.1,3157.18,0.27,858.3,856.18
764.03,296.68,1232.58,26.95,1126.11,3157.18,0.3,856.09,932.61
756.92,296.2,1219.28,26.67,1122.43,3157.18,0.31,848.83,971.26
749.81,295.75,1205.98,26.38,1118.75,3157.18,0.29,841.58,918.2
742.7,295.28,1192.67,26.1,1115.07,3157.18,0.27,834.32,848.27
729.86,289.81,1172.98,26.19,1112.15,3157.18,0.26,819.18,822.54
711.28,279.35,1146.87,26.64,1110.01,3157.18,0.27,796.15,836.68
692.7,268.89,1120.77,27.09,1107.86,3157.18,0.26,773.12,823.75
674.12,258.43,1094.66,27.54,1105.72,3157.18,0.24,750.09,770.79
